q2_2020,q3_2020,q4_2020,q1_2021,q2_2021,q3_2021,q4_2021,q1_2022,q2_2022,q3_2022,q4_2022,q1_2023,q2_2023,q3_2023,q4_2023,q1_2024,q2_2024,q3_2024,q4_2024,q1_2025
ACB,ACB,ACB,ACB,ACB,ABB,ACB,ACB,ACB,ACB,ACB,ACB,AAA,ACB,ABW,ABW,AAA,ACB,ABB,ACB
AGR,AGR,AGR,AGR,AGG,ACB,AGR,AGR,AGG,AGR,AGR,AGR,ACB,AGR,ACB,ACB,ABW,AGR,ACB,AGR
ANV,ANV,ANV,ANV,AGR,AGR,ANV,ANV,AGR,ANV,ANV,ANV,AGR,ANV,AGR,AGR,ACB,ANV,AGR,ANV
ASM,ASM,APH,ASM,ANV,ANV,APG,APG,ANV,ASM,APG,APG,ANV,BCG,ANV,ANV,AGR,BCG,ANV,APH
BCG,BCG,ASM,BCG,BCG,APG,BCG,BCG,ASM,BCG,BCG,BCG,APH,BID,APG,APG,ANV,BFC,BCG,BAF
BID,BID,BCG,BID,BID,BCG,BID,BID,BAF,BFC,BCM,BID,BCG,BMP,BCG,ASM,APG,BID,BID,BCG
BVS,BVS,BFC,BVS,BSR,BFC,BMC,BSI,BCG,BID,BID,BOT,BID,BOT,BID,BCG,ASM,BSR,BMP,BCM
C4G,C4G,BID,C4G,BVS,BID,BSI,BVS,BFC,BMC,BMC,BSI,BSI,BVS,BSI,BFC,BCG,BVS,BOT,BID
CEO,CEO,BVS,CEO,C4G,BSI,BVS,C4G,BID,BSR,BSI,BVS,BSR,C4G,BSR,BID,BFC,C4G,BVS,BMC
CMG,CMG,C4G,CMG,CEO,BVS,C4G,CEO,BVS,BVS,BVS,C4G,BVS,CEO,BVS,BSI,BID,CEO,C4G,BMP
CSV,CSV,CEO,CRE,CMG,C4G,CEO,CII,C4G,C4G,C4G,CEO,C4G,CMG,C4G,BVS,BMC,CKG,CEO,BSI
CTG,CTG,CMG,CSV,CSV,CEO,CKG,CMG,CEO,CEO,CEO,CMG,CEO,CSV,CEO,C4G,BMP,CMG,CII,BSR
CTR,CTR,CSV,CTG,CTG,CKG,CMG,CSV,CII,CMG,CII,CMX,CMG,CTG,CII,CEO,BOT,CSV,CKG,BVS
CTS,CTS,CTG,CTR,CTR,CMG,CSV,CTG,CMG,CMX,CKG,CSV,CMX,CTR,CMG,CMG,BSI,CTG,CMG,C4G
DBC,DBC,CTR,CTS,CTS,CSV,CTG,CTR,CMX,CSV,CMG,CTG,CSV,CTS,CSV,CRE,BVS,CTR,CSV,CEO
DCM,DCM,CTS,DBC,DBC,CTG,CTR,CTS,CSV,CTD,CRE,CTR,CTD,DBC,CTG,CSV,C4G,CTS,CTG,CMG
DGC,DGC,D2D,DCM,DCM,CTR,CTS,DBC,CTG,CTG,CSV,CTS,CTG,DCM,CTR,CTD,CEO,DBC,CTR,CRE
DGW,DGW,DBC,DGC,DGC,CTS,DBC,DCM,CTR,CTR,CTG,DBC,CTR,DGC,CTS,CTG,CMG,DCM,CTS,CSV
DIG,DIG,DCM,DGW,DGW,DBC,DCM,DGC,CTS,CTS,CTR,DCM,CTS,DGW,DBC,CTR,CRC,DDV,DBC,CTG
DPG,DPG,DGC,DIG,DIG,DCM,DDV,DGW,D2D,DBC,CTS,DGC,DBC,DIG,DCM,CTS,CSV,DGC,DCM,CTR
DPM,DPM,DGW,DPG,DPG,DDV,DGC,DIG,DBC,DCM,DBC,DGW,DCM,DL1,DDV,DBC,CTG,DGT,DGC,CTS
DPR,DPR,DIG,DPM,DPM,DGC,DGT,DPG,DCM,DDV,DCM,DIG,DGC,DPG,DGC,DCM,CTR,DGW,DGW,DBC
DRC,DRC,DPG,DPR,DPR,DGW,DGW,DPM,DDV,DGC,DGC,DPG,DGW,DPM,DGW,DGC,CTS,DIG,DIG,DCM
DXG,DXG,DPM,DRC,DRC,DIG,DIG,DPR,DGC,DGW,DGW,DPM,DIG,DPR,DIG,DGW,DBC,DL1,DL1,DGC
DXS,DXS,DPR,DRI,DXG,DPG,DL1,DRC,DGW,DIG,DIG,DPR,DPG,DRC,DPG,DIG,DCM,DPG,DPG,DGW
EIB,EIB,DRC,DTD,DXS,DPM,DPG,DXG,DIG,DPG,DPG,DQC,DPM,DTD,DPM,DPG,DDV,DPM,DPM,DIG
EVF,EVF,DXG,DXG,EIB,DPR,DPM,DXS,DPG,DPM,DPM,DRC,DPR,DXG,DPR,DPM,DGC,DPR,DPR,DPG
FCN,FCN,DXS,DXS,ELC,DRC,DPR,EIB,DPM,DPR,DPR,DXG,DRC,DXS,DRC,DPR,DGW,DRC,DRC,DPM
FPT,FMC,EIB,EIB,EVF,DXG,DRC,EVF,DPR,DQC,DRC,DXS,DRI,EIB,DXG,DRC,DIG,DRI,DRI,DPR
FRT,FPT,EVF,EVF,FCN,DXS,DXG,FCN,DQC,DRC,DXG,EIB,DTD,EVF,DXS,DRI,DPG,DTD,DSE,DRC
FTS,FRT,FCN,FCN,FPT,EIB,DXS,FPT,DRC,DRI,DXS,EVF,DXG,FCN,EIB,DTD,DPM,DXG,DXG,DSE
G36,FTS,FMC,FPT,FRT,EVF,EIB,FRT,DRI,DTD,EIB,FCN,DXS,FPT,ELC,DXG,DPR,DXS,DXS,DXG
GEX,G36,FPT,FRT,FTS,FCN,ELC,FTS,DXG,DXG,EVF,FPT,EIB,FRT,EVF,DXS,DRC,EIB,EIB,DXS
GIL,GEX,FRT,FTS,G36,FPT,EVF,G36,DXS,DXS,FCN,FRT,ELC,FTS,FCN,EIB,DRI,ELC,ELC,EIB
GMD,GIL,FTS,G36,GEX,FRT,FCN,GEX,EIB,EIB,FPT,FTS,EVF,G36,FMC,ELC,DTD,EVF,EVF,ELC
GVR,GMD,G36,GEX,GIL,FTS,FPT,GIL,EVF,ELC,FRT,G36,FCN,GEX,FPT,EVF,DXG,FCN,FCN,EVF
HAG,GVR,GEX,GIL,GMD,G36,FRT,GMD,FCN,EVF,FTS,GEX,FPT,GIL,FRT,FCN,DXS,FOX,FOC,FCN
HAH,HAG,GIL,GMD,GVR,GEX,FTS,GVR,FMC,FCN,G36,GIL,FRT,GMD,FTS,FPT,EIB,FPT,FPT,FOX
HAX,HAH,GMD,GVR,HAG,GIL,G36,HAG,FPT,FMC,GEX,GMD,FTS,GVR,G36,FRT,EVF,FRT,FRT,FPT
HCM,HAX,GVR,HAG,HAH,GMD,GEX,HAH,FRT,FPT,GIL,GVR,G36,HAG,GEX,FTS,FCN,FTS,FTS,FRT
HDB,HCM,HAG,HAH,HAX,GVR,GIL,HAX,FTS,FRT,GMD,HAG,GEX,HAH,GIL,G36,FOX,G36,G36,FTS
HDC,HDB,HAH,HAX,HCM,HAG,GMD,HCM,G36,FTS,GVR,HAH,GIL,HAX,GMD,GEX,FPT,GDA,GDA,G36
HHS,HDC,HAX,HCM,HDB,HAH,GVR,HDB,GEX,G36,HAG,HAX,GMD,HCM,GVR,GIL,FRT,GEX,GEX,GEX
HNG,HHS,HCM,HDB,HDC,HAX,HAG,HDC,GIL,GEX,HAH,HCM,GVR,HDB,HAG,GMD,FTS,GIL,GIL,GIL
HPG,HNG,HDB,HDC,HHS,HCM,HAH,HHS,GMD,GIL,HAX,HDB,HAG,HDC,HAH,GVR,G36,GMD,GMD,GMD
HQC,HPG,HDC,HHS,HNG,HDB,HAX,HNG,GVR,GMD,HCM,HDC,HAH,HHS,HAX,HAG,GEX,GVR,GVR,GVR
HSG,HQC,HHS,HNG,HPG,HDC,HCM,HPG,HAG,GVR,HDB,HHS,HAX,HNG,HCM,HAH,GIL,HAG,HAG,HAG
HUT,HSG,HNG,HPG,HQC,HHS,HDB,HQC,HAH,HAG,HDC,HNG,HCM,HPG,HDB,HAX,GMD,HAH,HAH,HAH
HVH,HUT,HPG,HSG,HSG,HNG,HDC,HSG,HAX,HAH,HHS,HPG,HDB,HSG,HDC,HCM,GVR,HAX,HAX,HAX
IDC,HVH,HSG,HUT,HUT,HPG,HHS,HTN,HCM,HAX,HNG,HQC,HDC,IDC,HHS,HDB,HAG,HCM,HCM,HCM
IDI,IDC,HTN,IDC,IDC,HQC,HNG,HUT,HDB,HCM,HPG,HSG,HHS,IDI,HNG,HDC,HAH,HDB,HDB,HDB
IPA,IDI,IDC,IDI,IDI,HSG,HPG,IDC,HDC,HDB,HSG,HT1,HHV,IPA,HPG,HHS,HAX,HDC,HDC,HDC
KBC,IPA,IDI,IJC,IPA,IDC,HSG,IDI,HHS,HDC,IDC,IDC,HNG,KBC,HSG,HHV,HCM,HHS,HHS,HHS
KDH,KBC,IPA,IPA,KBC,IDI,ICT,IDJ,HNG,HHS,IDI,IDI,HPG,KDH,HTN,HNG,HDB,HNG,HHV,HNG
KHG,KDH,KBC,KBC,KDH,IPA,IDC,IPA,HPG,HNG,IDJ,IDJ,HSG,KHG,HUT,HPG,HDC,HPG,HNG,HPG
KSB,KHG,KDH,KDH,KHG,KBC,IDI,KBC,HSG,HPG,IJC,IJC,HT1,KSB,IDC,HQC,HHS,HSG,HPG,HSG
LAS,KSB,KHG,KHG,KSB,KDH,IDJ,KDH,HT1,HQC,IPA,IPA,HTN,LAS,IDI,HSG,HNG,HVH,HSG,HTN
LCG,LAS,KSB,KSB,LAS,KHG,IPA,KHG,HUT,HSG,KBC,KBC,HVH,LCG,IPA,HUT,HPG,ICT,HT1,HVH
LDG,LCG,LAS,LAS,LCG,KSB,IVS,KSB,IDC,HUT,KDH,KDH,IDC,LHG,IVS,IDC,HSG,IDC,HTN,ICT
LHG,LDG,LCG,LCG,LHG,LAS,KBC,LAS,IDI,IDC,KHG,KHG,IDI,LPB,KBC,IDI,IDC,IDI,IDC,IDC
LPB,LHG,LHG,LHG,LPB,LCG,KDH,LCG,IPA,IDI,KSB,KSB,IDJ,MBB,KDH,IPA,IDI,IDJ,IDI,IDI
MBB,LPB,LPB,LPB,MBB,LHG,KHG,LDG,KBC,IJC,LAS,LAS,IPA,MBS,KHG,IVS,IJC,IPA,IDJ,IPA
MBS,MBB,MBB,MBB,MBS,LPB,KSB,LGL,KDH,IPA,LCG,LCG,KBC,MSN,KSB,KBC,IPA,KBC,IPA,IVS
MSH,MBS,MBS,MBS,MSN,MBB,LAS,LHG,KHG,KBC,LHG,LGL,KDH,MSR,LAS,KDH,IVS,KDH,KBC,KBC
MSN,MSN,MSN,MSN,MSR,MBS,LCG,LPB,KSB,KDH,LPB,LHG,KHG,MWG,LCG,KHG,KBC,KHG,KDH,KDH
MSR,MSR,MSR,MSR,MWG,MSB,LHG,MBB,LAS,KHG,MBB,LPB,KSB,NHA,LGL,KSB,KDH,KSB,KHG,KHG
MWG,MWG,MWG,MWG,NHA,MSN,LPB,MBS,LCG,KSB,MBS,MBB,LAS,NKG,LHG,LAS,KHG,LAS,KOS,KSB
NHA,NHA,NDN,NHA,NKG,MSR,MBB,MSN,LDG,LAS,MSN,MBS,LCG,NLG,LPB,LCG,KSB,LCG,KSB,LAS
NKG,NKG,NHA,NKG,NLG,MWG,MBS,MSR,LHG,LCG,MSR,MSN,LHG,NTP,MBB,LGL,LAS,LHG,LAS,LCG
NLG,NLG,NKG,NLG,NTP,NBC,MSN,MWG,LPB,LGL,MWG,MSR,LPB,NVL,MBS,LHG,LCG,LPB,LCG,LHG
NTP,NTP,NLG,NTP,NVB,NHA,MSR,NHA,MBB,LHG,NHA,MWG,MBB,ORS,MSH,LPB,LHG,MBB,LHG,LPB
NVL,NVL,NTP,NVL,NVL,NKG,MWG,NKG,MBS,LPB,NKG,NBC,MBS,PAN,MSN,MBB,LPB,MBS,LPB,MBB
OGC,OGC,NVL,PAN,ORS,NLG,NBC,NLG,MSN,MBB,NLG,NHA,MSN,PDR,MSR,MBS,MBB,MSN,MBB,MBS
PAN,PAN,OGC,PDR,PAN,NTP,NHA,NTP,MSR,MBS,NTP,NKG,MSR,PET,MWG,MSN,MBS,MSR,MBS,MSN
PC1,PC1,PAN,PET,PDR,NVB,NKG,NVL,MWG,MPC,NVL,NLG,MWG,PLX,NBB,MSR,MSN,MWG,MSB,MSR
PDR,PDR,PDR,PLX,PET,NVL,NLG,OGC,NBB,MSH,PAN,NTP,NBC,PVB,NDN,MWG,MSR,NHA,MSH,MWG
PET,PET,PET,PVD,PLX,ORS,NTP,PAN,NBC,MSN,PDR,NVB,NHA,PVD,NHA,NBB,MWG,NKG,MSN,NHA
PLX,PLX,PLX,PVS,PVD,PAN,NVL,PDR,NHA,MSR,PET,NVL,NKG,PVS,NKG,NHA,NBB,NLG,MSR,NKG
PVD,PVB,PVD,REE,PVS,PDR,PAN,PET,NKG,MWG,PLX,OGC,NLG,REE,NLG,NKG,NDN,NTP,MWG,NLG
PVS,PVD,PVS,SAB,REE,PET,PDR,PLX,NLG,NBC,PSI,PAN,NTP,SAB,NTP,NLG,NHA,NVL,NHA,NTP
REE,PVS,REE,SHB,S99,PLX,PET,PSI,NTP,NHA,PVB,PC1,NVL,SHB,NVL,NTL,NKG,PAN,NKG,NVL
SAB,REE,S99,SHS,SAB,PVD,PLX,PVD,NVB,NKG,PVC,PDR,PAN,SHS,ORS,NTP,NLG,PDR,NLG,OCB
SCR,SAB,SAB,SIP,SBS,PVS,PSI,PVS,NVL,NLG,PVD,PET,PC1,SSI,PAN,NVL,NTL,PET,NTP,OGC
SHB,SCR,SHB,SSI,SGP,REE,PVD,REE,OGC,NTL,PVS,PLX,PDR,STB,PDR,OGC,NTP,PLX,NVB,OIL
SHS,SHB,SHS,STB,SHB,SAB,PVS,SAB,PAN,NTP,REE,PTB,PET,SZC,PET,PAN,NVL,PVB,NVL,PAN
SSI,SHS,SSI,SZC,SHS,SBS,REE,SAM,PC1,NVB,S99,PVC,PLX,TCB,PLX,PC1,ORS,PVD,PAN,PDR
STB,SSI,STB,TCB,SSI,SCR,SAB,SCR,PDR,NVL,SAB,PVD,PTB,TCH,PSI,PDR,PAN,PVS,PDR,PET
SZC,STB,SZC,TCH,STB,SGP,SHB,SHB,PET,OGC,SCI,PVS,PVC,TCM,PVD,PET,PDR,REE,PET,PLX
TCB,SZC,TCB,TCM,SZC,SHB,SHS,SHS,PLX,ORS,SHB,REE,PVD,TPB,PVS,PHR,PET,SAB,PHR,PTB
TCH,TCB,TCH,TPB,TCB,SHS,SSI,SSI,PTB,PAN,SHS,S99,PVS,VCI,REE,PLX,PHR,SAM,PLX,PVB
TCM,TCH,TCM,VCI,TCH,SSI,STB,STB,PVB,PC1,SKG,SAB,QNS,VDS,S99,PVB,PLX,SGP,PVB,PVD
TPB,TCL,TPB,VEA,TCM,STB,SZC,SZC,PVC,PDR,SSI,SBS,REE,VEA,SAB,PVC,PVD,SHB,PVD,PVS
VCI,TCM,VCG,VGC,TPB,SZC,TCB,TCB,PVD,PET,STB,SBT,SAB,VGC,SCI,PVD,PVS,SHS,PVS,REE
VEA,TPB,VCI,VGI,TSC,TCB,TCH,TCH,PVS,PHR,SZC,SHB,SHB,VGI,SGP,PVS,REE,SSI,QNS,S99
VGC,TV2,VEA,VGS,VCI,TCH,TCM,TCM,REE,PLX,TCB,SHS,SHS,VGS,SHB,REE,S99,STB,REE,SAB
VGI,VCI,VGC,VGT,VDS,TCL,TPB,TNI,SAB,PSI,TCH,SSI,SSI,VGT,SHS,SAB,SAB,SZC,SAB,SAM
VGS,VEA,VGI,VHC,VEA,TCM,VCI,TPB,SCR,PTB,TCM,STB,STB,VHC,SSI,SCR,SCI,TCB,SGP,SBT
VGT,VGC,VGS,VIB,VGC,TIG,VDS,TSC,SHB,PVB,TPB,SZC,SZC,VIB,STB,SHB,SHB,TCH,SHB,SCS
VHC,VGI,VGT,VIP,VGI,TPB,VEA,TTN,SHS,PVC,VCB,TCB,TCB,VIP,SZC,SHS,SHS,TCM,SHS,SGP
VIB,VGS,VHC,VIX,VGS,VCB,VGC,VCI,SKG,PVD,VCI,TCH,TCH,VIX,TCB,SIP,SIP,TIG,SIP,SHB
VIP,VGT,VIB,VND,VGT,VCI,VGI,VEA,SSI,PVS,VDS,TCM,TCM,VND,TCH,SSI,SSI,TPB,SSI,SHS
VND,VHC,VIP,VOS,VHC,VDS,VGS,VGC,STB,REE,VEA,TIG,TPB,VOS,TCM,STB,STB,TTN,STB,SIP
VOS,VIB,VIX,VPB,VIB,VEA,VGT,VGI,SZC,SAB,VGC,TPB,VCI,VPB,TPB,SZC,SZC,TV2,SZC,SKG
VPB,VIP,VND,VSC,VIG,VGC,VHC,VGS,TCB,SBS,VGI,VCG,VEA,VPG,TV2,TCB,TCB,VCI,TCB,SSI
VTP,VND,VOS,VTP,VIP,VGI,VIB,VGT,TCH,SBT,VGS,VCI,VGC,VPH,VCG,TCH,TCH,VCS,TCH,STB
,VOS,VPB,,VND,VGS,VIG,VHC,TCM,SHB,VGT,VCS,VGI,VTP,VCI,TCM,TCM,VDS,TCM,SZC
,VPB,VTP,,VOS,VGT,VIP,VIB,TPB,SHS,VHC,VEA,VGS,,VDS,TIG,TPB,VEA,TPB,TCB
,VTP,,,VPB,VHC,VND,VIG,TSC,SSI,VIB,VGC,VGT,,VEA,TPB,VCB,VGC,VCB,TCH
,,,,VTP,VIB,VOS,VIP,VCI,STB,VIG,VGI,VHC,,VGC,TV2,VCI,VGI,VCI,TCM
,,,,,VIG,VPB,VIX,VEA,SZC,VIP,VGS,VIB,,VGI,VCI,VCS,VGS,VDS,TPB
,,,,,VIP,VPH,VND,VGC,TCB,VIX,VGT,VIG,,VGS,VDS,VDS,VGT,VEA,TTN
,,,,,VND,VTP,VOS,VGI,TCH,VND,VHC,VIP,,VGT,VEA,VEA,VHC,VGC,TV2
,,,,,VOS,,VPB,VGS,TCL,VOS,VIB,VND,,VHC,VGC,VGC,VIB,VGI,VCI
,,,,,VPB,,VPH,VGT,TCM,VPB,VIG,VOS,,VIB,VGI,VGI,VIP,VGS,VDS
,,,,,VPG,,VTP,VHC,TPB,VTP,VIP,VPB,,VIG,VGS,VGS,VND,VGT,VEA
,,,,,VTO,,,VIB,TSC,,VND,VTP,,VIP,VGT,VGT,VOS,VHC,VGC
,,,,,VTP,,,VIP,VCI,,VOS,,,VIX,VHC,VHC,VPB,VIB,VGI
,,,,,,,,VND,VDS,,VPB,,,VND,VIB,VIB,VPH,VIC,VGS
,,,,,,,,VOS,VEA,,VPG,,,VOS,VIP,VIG,VTO,VIP,VGT
,,,,,,,,VPB,VGC,,VTP,,,VPB,VIX,VIP,VTP,VND,VHC
,,,,,,,,VPH,VGI,,,,,VPG,VND,VIX,,VNM,VIB
,,,,,,,,VTO,VGS,,,,,VPH,VOS,VND,,VOS,VIG
,,,,,,,,VTP,VGT,,,,,VTP,VPB,VOS,,VPB,VIP
,,,,,,,,,VHC,,,,,,VSC,VPB,,VPG,VND
,,,,,,,,,VIB,,,,,,VTP,VTP,,VPH,VOS
,,,,,,,,,VIG,,,,,,,,,VTP,VPB
,,,,,,,,,VIP,,,,,,,,,,VTO
,,,,,,,,,VND,,,,,,,,,,VTP
,,,,,,,,,VOS,,,,,,,,,,
,,,,,,,,,VPB,,,,,,,,,,
,,,,,,,,,VPG,,,,,,,,,,
,,,,,,,,,VSC,,,,,,,,,,
,,,,,,,,,VTP,,,,,,,,,,
